date,unit_name,unit_id,type,title,category,budget,award_amount,awarded_at,companies,job_number,url,notice_date,award_way,county,county_code,town_code,contact_person,contact_phone,losing_supplier,filename
20260408,屏東榮民總醫院,,招標公告,健康台灣深耕計畫-建構屏東健康雲大平台,勞務類,,,20260408,,PTVGH-CP15902,https://www.google.com/search?q=PTVGH-CP15902+%E5%81%A5%E5%BA%B7%E5%8F%B0%E7%81%A3%E6%B7%B1%E8%80%95%E8%A8%88%E7%95%AB-%E5%BB%BA%E6%A7%8B%E5%B1%8F%E6%9D%B1%E5%81%A5%E5%BA%B7%E9%9B%B2%E5%A4%A7%E5%B9%B3%E5%8F%B0,,,,,,,,,tender_20260301.xml
20260408,交通部公路局,,招標公告,省道邊坡全生命週期管理系統維護及功能優化委託資訊服務工作,勞務類,,,20260408,,115005,https://www.google.com/search?q=115005+%E7%9C%81%E9%81%93%E9%82%8A%E5%9D%A1%E5%85%A8%E7%94%9F%E5%91%BD%E9%80%B1%E6%9C%9F%E7%AE%A1%E7%90%86%E7%B3%BB%E7%B5%B1%E7%B6%AD%E8%AD%B7%E5%8F%8A%E5%8A%9F%E8%83%BD%E5%84%AA%E5%8C%96%E5%A7%94%E8%A8%97%E8%B3%87%E8%A8%8A%E6%9C%8D%E5%8B%99%E5%B7%A5%E4%BD%9C,,,,,,,,,tender_20260301.xml
20260408,交通部中央氣象署,,招標公告,115年中央氣象署資訊系統軟硬體服務案,勞務類,,,20260408,,115039D,https://www.google.com/search?q=115039D+115%E5%B9%B4%E4%B8%AD%E5%A4%AE%E6%B0%A3%E8%B1%A1%E7%BD%B2%E8%B3%87%E8%A8%8A%E7%B3%BB%E7%B5%B1%E8%BB%9F%E7%A1%AC%E9%AB%94%E6%9C%8D%E5%8B%99%E6%A1%88,,,,,,,,,tender_20260301.xml
20260408,台灣電力股份有限公司高雄區營業處,,招標公告,115~116年配售電系統授課、教練工作,勞務類,,,20260408,,1091500001,https://www.google.com/search?q=1091500001+115~116%E5%B9%B4%E9%85%8D%E5%94%AE%E9%9B%BB%E7%B3%BB%E7%B5%B1%E6%8E%88%E8%AA%B2%E3%80%81%E6%95%99%E7%B7%B4%E5%B7%A5%E4%BD%9C,,,,,,,,,tender_20260301.xml
20260408,國立臺灣大學醫學院附設醫院,,招標公告,115-117年總分院一次性自體軟骨修補系統開口合約招標案,財物類,,,20260408,,UM150320,https://www.google.com/search?q=UM150320+115-117%E5%B9%B4%E7%B8%BD%E5%88%86%E9%99%A2%E4%B8%80%E6%AC%A1%E6%80%A7%E8%87%AA%E9%AB%94%E8%BB%9F%E9%AA%A8%E4%BF%AE%E8%A3%9C%E7%B3%BB%E7%B5%B1%E9%96%8B%E5%8F%A3%E5%90%88%E7%B4%84%E6%8B%9B%E6%A8%99%E6%A1%88,,,,,,,,,tender_20260301.xml
20260407,農業部,,招標公告,「115年度農地永續利用空間資訊計畫」採購案,勞務類,,,20260407,,115J03,https://www.google.com/search?q=115J03+%E3%80%8C115%E5%B9%B4%E5%BA%A6%E8%BE%B2%E5%9C%B0%E6%B0%B8%E7%BA%8C%E5%88%A9%E7%94%A8%E7%A9%BA%E9%96%93%E8%B3%87%E8%A8%8A%E8%A8%88%E7%95%AB%E3%80%8D%E6%8E%A1%E8%B3%BC%E6%A1%88,,,,,,,,,tender_20260302.xml
20260407,交通部公路局中區養護工程分局,,招標公告,台76線八卦山隧道東口及中央豎井機房UPS不斷電系統汰換更新工作,財物類,,,20260407,,115-806,https://www.google.com/search?q=115-806+%E5%8F%B076%E7%B7%9A%E5%85%AB%E5%8D%A6%E5%B1%B1%E9%9A%A7%E9%81%93%E6%9D%B1%E5%8F%A3%E5%8F%8A%E4%B8%AD%E5%A4%AE%E8%B1%8E%E4%BA%95%E6%A9%9F%E6%88%BFUPS%E4%B8%8D%E6%96%B7%E9%9B%BB%E7%B3%BB%E7%B5%B1%E6%B1%B0%E6%8F%9B%E6%9B%B4%E6%96%B0%E5%B7%A5%E4%BD%9C,,,,,,,,,tender_20260301.xml
20260407,臺北市政府資訊局,,招標公告,115年機房監控暨維運監管服務案,勞務類,,,20260407,,11525,https://www.google.com/search?q=11525+115%E5%B9%B4%E6%A9%9F%E6%88%BF%E7%9B%A3%E6%8E%A7%E6%9A%A8%E7%B6%AD%E9%81%8B%E7%9B%A3%E7%AE%A1%E6%9C%8D%E5%8B%99%E6%A1%88,,,,,,,,,tender_20260301.xml
20260407,環境部,,招標公告,115-117年行政作業支援暨採購案件管理系統維運及擴充案,勞務類,,,20260407,,115AA057,https://www.google.com/search?q=115AA057+115-117%E5%B9%B4%E8%A1%8C%E6%94%BF%E4%BD%9C%E6%A5%AD%E6%94%AF%E6%8F%B4%E6%9A%A8%E6%8E%A1%E8%B3%BC%E6%A1%88%E4%BB%B6%E7%AE%A1%E7%90%86%E7%B3%BB%E7%B5%B1%E7%B6%AD%E9%81%8B%E5%8F%8A%E6%93%B4%E5%85%85%E6%A1%88,,,,,,,,,tender_20260301.xml
20260407,臺中榮民總醫院,,招標公告,醫療影像儲傳系統及相關設備維護貳年期契約採購案,勞務類,,,20260407,,115P016,https://www.google.com/search?q=115P016+%E9%86%AB%E7%99%82%E5%BD%B1%E5%83%8F%E5%84%B2%E5%82%B3%E7%B3%BB%E7%B5%B1%E5%8F%8A%E7%9B%B8%E9%97%9C%E8%A8%AD%E5%82%99%E7%B6%AD%E8%AD%B7%E8%B2%B3%E5%B9%B4%E6%9C%9F%E5%A5%91%E7%B4%84%E6%8E%A1%E8%B3%BC%E6%A1%88,,,,,,,,,tender_20260301.xml
